,0,1,2
0,description,,
1,Acidaminococcus-intestini-D21-MAF-2,ec,5-1-99-1
4,Akkermansia_muciniphila,ec,5-1-99-1
6,Alistipes-ihumii-AP11-MAF-2,ec,5-1-99-1
8,Alistipes-indistinctus-YIT-12060-MAF-2,ec,5-1-99-1
11,Alistipes-onderdonkii-DSM-19147-MAF-2,ec,5-1-99-1
13,Alistipes-putredinis-DSM-17216-MAF-2,ec,5-1-99-1
15,Alistipes-senegalensis-JC50-MAF-2,ec,5-1-99-1
17,Alistipes-shahii-WAL-8301-MAF-2,ec,5-1-99-1
19,Anaerobutyricum_hallii,ec,5-1-99-1
21,Anaerostipes-caccae-DSM-14662-MAF-2,ec,5-1-99-1
31,Anaerotruncus-colihominis-DSM-17241-MAF-2,ec,5-1-99-1
39,Bacteroides-caccae-ATCC-43185-MAF-2,ec,5-1-99-1
42,Bacteroides-cellulosilyticus-DSM-14838-MAF-2,ec,5-1-99-1
47,Bacteroides-coprophilus-DSM-18228-MAF-2,ec,5-1-99-1
49,Bacteroides-dorei-5-1-36-D4-MAF-2,ec,5-1-99-1
52,Bacteroides-dorei-DSM-17855-MAF-2,ec,5-1-99-1
55,Bacteroides-eggerthii-DSM-20697-MAF-2,ec,5-1-99-1
58,Bacteroides-finegoldii-DSM-17565-MAF-2,ec,5-1-99-1
61,Bacteroides-fragilis-2-1-16-MAF-2,ec,5-1-99-1
64,Bacteroides-fragilis-3-1-12-MAF-2,ec,5-1-99-1
67,Bacteroides-intestinalis-DSM-17393-MAF-2,ec,5-1-99-1
72,Bacteroides-ovatus-ATCC-8483-MAF-2,ec,5-1-99-1
76,Bacteroides-plebeius-DSM-17135-MAF-2,ec,5-1-99-1
78,Bacteroides-rodentium-JCM-16496-MAF-2,ec,5-1-99-1
82,Bacteroides-sp-3-1-19-MAF-2,ec,5-1-99-1
85,Bacteroides-sp-9-1-42FAA-MAF-2,ec,5-1-99-1
88,Bacteroides-sp-D2-MAF-2,ec,5-1-99-1
93,Bacteroides-stercoris-ATCC-43183-MAF-2,ec,5-1-99-1
97,Bacteroides-thetaiotaomicron-1-1-6-MAF-2,ec,5-1-99-1
102,Bacteroides-thetaiotaomicron-VPI-5482-MAF-2,ec,5-1-99-1
108,Bacteroides-uniformis-ATCC-8492-MAF-2,ec,5-1-99-1
111,Bacteroides-xylanisolvens-SD-CC-1b-MAF-2,ec,5-1-99-1
116,Bacteroides_fragilis,ec,5-1-99-1
119,Bacteroides_ovatus,ec,5-1-99-1
123,Bacteroides_thetaiotaomicron,ec,5-1-99-1
129,Bifidobacterium-adolescentis-L2-32-MAF-2,ec,5-1-99-1
132,Bifidobacterium_adolescentis,ec,5-1-99-1
137,Bifidobacterium_longum,ec,5-1-99-1
140,Blautia-hansenii-DSM-20583-MAF-2,ec,5-1-99-1
144,Blautia-hydrogenotrophica-DSM-10507-MAF-2,ec,5-1-99-1
146,Blautia-obeum-ATCC-29174-MAF-2,ec,5-1-99-1
153,Blautia-sp-KLE-1732-MAF-2,ec,5-1-99-1
158,Blautia-wexlerae-DSM-19850-MAF-2,ec,5-1-99-1
165,Butyricimonas-virosa-DSM-23226-MAF-2,ec,5-1-99-1
169,Catenibacterium-mitsuokai-DSM-15897-MAF-2,ec,5-1-99-1
172,Clostridium-scindens-ATCC-35704-MAF-2,ec,5-1-99-1
174,Clostridium-sp-M62-1-MAF-2,ec,5-1-99-1
179,Clostridium-spiroforme-DSM-1552-MAF-2,ec,5-1-99-1
180,Collinsella-stercoris-DSM-13279-MAF-2,ec,5-1-99-1
182,Collinsella_aerofaciens,ec,5-1-99-1
184,Coprococcus-comes-ATCC-27758-MAF-2,ec,5-1-99-1
189,Coprococcus-eutactus-ATCC-27759-MAF-2,ec,5-1-99-1
193,Dorea-formicigenerans-ATCC-27755-MAF-2,ec,5-1-99-1
196,Dorea-longicatena-DSM-13814-MAF-2,ec,5-1-99-1
199,Enterocloster-asparagiformis-DSM-15981-MAF-2,ec,5-1-99-1
211,Enterocloster-bolteae-ATCC-BAA-613-MAF-2,ec,5-1-99-1
219,Escherichia_coli,ec,5-1-99-1
222,Eubacterium-siraeum-DSM-15702-MAF-2,ec,5-1-99-1
225,Eubacterium-ventriosum-ATCC-27560-MAF-2,ec,5-1-99-1
228,Eubacterium_eligens,ec,5-1-99-1
229,Eubacterium_rectale,ec,5-1-99-1
235,Faecalibacterium_prausnitzii,ec,5-1-99-1
237,Granulicatella-adiacens-ATCC-49175-MAF-2,ec,5-1-99-1
242,Intestinibacter-bartlettii-DSM-16795-MAF-2,ec,5-1-99-1
245,Lachnospira-eligens-ATCC-27750-MAF-2,ec,5-1-99-1
246,Lactobacillus-ruminis-ATCC-25644-MAF-2,ec,5-1-99-1
247,Lactococcus-lactis-IL1403-MAF-2,ec,5-1-99-1
249,Marvinbryantia-formatexigens-DSM-14469-MAF-2,ec,5-1-99-1
251,Megasphaera-elsdenii-14-14-MAF-2,ec,5-1-99-1
257,Mitsuokella-multacida-DSM-20544-MAF-2,ec,5-1-99-1
260,Parabacteroides-johnsonii-DSM-18315-MAF-2,ec,5-1-99-1
267,Parabacteroides-merdae-ATCC-43184-MAF-2,ec,5-1-99-1
270,Parabacteroides-sp-D13-MAF-2,ec,5-1-99-1
275,Phocaeicola_vulgatus,ec,5-1-99-1
278,Roseburia-intestinalis-L1-82-MAF-2,ec,5-1-99-1
279,Roseburia_intestinalis,ec,5-1-99-1
280,Ruminococcus-gauvreauii-DSM-19829-MAF-2,ec,5-1-99-1
283,Ruminococcus-lactaris-ATCC-29176-MAF-2,ec,5-1-99-1
288,Ruminococcus-torques-ATCC-27756-MAF-2,ec,5-1-99-1
291,Streptococcus-thermophilus-LMD-9-MAF-2,ec,5-1-99-1
293,Subdoligranulum-variabile-DSM-15176-MAF-2,ec,5-1-99-1
294,Tyzzerella-nexilis-DSM-1787-MAF-2,ec,5-1-99-1
298,Veillonella-sp-3-1-44-MAF-2,ec,5-1-99-1
301,Veillonella-sp-6-1-27-MAF-2,ec,5-1-99-1
304,Acidaminococcus-intestini-D21-MAF-2,ec,5-4-99-2
305,Akkermansia_muciniphila,ec,5-4-99-2
307,Alistipes-ihumii-AP11-MAF-2,ec,5-4-99-2
310,Alistipes-indistinctus-YIT-12060-MAF-2,ec,5-4-99-2
313,Alistipes-onderdonkii-DSM-19147-MAF-2,ec,5-4-99-2
315,Alistipes-putredinis-DSM-17216-MAF-2,ec,5-4-99-2
317,Alistipes-senegalensis-JC50-MAF-2,ec,5-4-99-2
321,Alistipes-shahii-WAL-8301-MAF-2,ec,5-4-99-2
324,Anaerobutyricum_hallii,ec,5-4-99-2
325,Anaerotruncus-colihominis-DSM-17241-MAF-2,ec,5-4-99-2
326,Bacteroides-caccae-ATCC-43185-MAF-2,ec,5-4-99-2
329,Bacteroides-cellulosilyticus-DSM-14838-MAF-2,ec,5-4-99-2
332,Bacteroides-coprophilus-DSM-18228-MAF-2,ec,5-4-99-2
336,Bacteroides-dorei-5-1-36-D4-MAF-2,ec,5-4-99-2
340,Bacteroides-dorei-DSM-17855-MAF-2,ec,5-4-99-2
344,Bacteroides-eggerthii-DSM-20697-MAF-2,ec,5-4-99-2
