Roseburia-intestinalis-L1-82-MAF-2_malY,1_1721/9-391,1_1721,396,478.3,3.3e-144,0.0,383,478.1,1.2e-146,3.8e-144,0.0,workflow/out/malY/hmmer_output/Roseburia-intestinalis-L1-82-MAF-2_malY.domtblout
Roseburia-intestinalis-L1-82-MAF-2_malY,1_1462/7-387,1_1462,393,383.8,1.7e-115,0.0,381,383.6,6.2e-118,1.9e-115,0.0,workflow/out/malY/hmmer_output/Roseburia-intestinalis-L1-82-MAF-2_malY.domtblout
Roseburia-intestinalis-L1-82-MAF-2_malY,1_3150/34-383,1_3150,393,151.0,8.9e-45,0.0,350,150.7,3.5e-47,1.1e-44,0.0,workflow/out/malY/hmmer_output/Roseburia-intestinalis-L1-82-MAF-2_malY.domtblout
Roseburia-intestinalis-L1-82-MAF-2_malY,1_3339/25-381,1_3339,394,147.5,1e-43,0.0,357,147.2,4e-46,1.3e-43,0.0,workflow/out/malY/hmmer_output/Roseburia-intestinalis-L1-82-MAF-2_malY.domtblout
Roseburia-intestinalis-L1-82-MAF-2_malY,1_3871/46-387,1_3871,399,89.5,4.3e-26,0.0,342,89.2,1.7e-28,5.5e-26,0.0,workflow/out/malY/hmmer_output/Roseburia-intestinalis-L1-82-MAF-2_malY.domtblout
Roseburia-intestinalis-L1-82-MAF-2_malY,1_1164/82-392,1_1164,403,89.1,5.5e-26,0.0,311,88.7,2.4e-28,7.5e-26,0.0,workflow/out/malY/hmmer_output/Roseburia-intestinalis-L1-82-MAF-2_malY.domtblout
Roseburia-intestinalis-L1-82-MAF-2_malY,1_2283/100-305,1_2283,363,78.9,6.9e-23,0.0,206,78.7,2.6e-25,8e-23,0.0,workflow/out/malY/hmmer_output/Roseburia-intestinalis-L1-82-MAF-2_malY.domtblout
Roseburia-intestinalis-L1-82-MAF-2_malY,1_3012/33-402,1_3012,405,60.2,3.4e-17,0.0,370,59.8,1.4e-19,4.4e-17,0.0,workflow/out/malY/hmmer_output/Roseburia-intestinalis-L1-82-MAF-2_malY.domtblout
Roseburia-intestinalis-L1-82-MAF-2_malY,1_2347/26-296,1_2347,614,51.6,1.4e-14,0.0,271,51.1,6.3e-17,2e-14,0.0,workflow/out/malY/hmmer_output/Roseburia-intestinalis-L1-82-MAF-2_malY.domtblout
Roseburia-intestinalis-L1-82-MAF-2_malY,1_3616/368-498,1_3616,608,26.5,6.1e-07,0.0,131,25.7,3.3e-09,1e-06,0.0,workflow/out/malY/hmmer_output/Roseburia-intestinalis-L1-82-MAF-2_malY.domtblout
Roseburia-intestinalis-L1-82-MAF-2_malY,1_372/61-173,1_372,379,25.7,1.1e-06,0.0,113,25.2,4.9e-09,1.5e-06,0.0,workflow/out/malY/hmmer_output/Roseburia-intestinalis-L1-82-MAF-2_malY.domtblout
Roseburia-intestinalis-L1-82-MAF-2_malY,1_3608/49-155,1_3608,375,14.2,0.0032,0.0,107,13.6,1.6e-05,0.0051,0.0,workflow/out/malY/hmmer_output/Roseburia-intestinalis-L1-82-MAF-2_malY.domtblout
